id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1749938271252283811,"@RajRajaru What an adorable story! I wonder what Lil Dan will think of Baby Brother, when cute little baby brother starts to annoy him more! 😁✨✨",https://twitter.com/20_camellia/status/1749938271252283811,tweet,Camellia,@20_camellia,United States,@RajRajaru,,0,0,0,0,12,0,2024-01-23 18:32:50,,
1749938200716423351,@DLSRedd The one of whiney about how he’s sick and then how this first time he’s eating by himself like doesn’t he have a brother and a mom go annoy them 😂,https://twitter.com/PrincessJ16xoxo/status/1749938200716423351,tweet,spoiled aries❤️‍🔥,@PrincessJ16xoxo,United States,@DLSRedd,,1,0,0,0,17,0,2024-01-23 18:32:33,,
1749938097612001486,"It's annoy a hybrid day!

Today's your lucky day, @divinitaoscura. 

Your existence is being acknowledged even though you did nothing to earn it.

                                    *Grrr.* https://t.co/x0YFULSTqS",https://twitter.com/FlaringHumanity/status/1749938097612001486,tweet,Elena 'THE professional' Gilbert ˎˊ ˗ (Parody) ~SH,@FlaringHumanity,,@divinitaoscura,,1,1,0,2,242,0,2024-01-23 18:32:09,"https://pbs.twimg.com/media/GEkHFYqWYAAHpID.jpg,https://pbs.twimg.com/media/GEkHKsMWcAEQWhS.jpg",
1749937140903891097,Like it was mildly funny at one point cant say it got much of a chuckle out of me but now it’s just plain annoying idrc about annoy bad mouthing him that much cause he’s literally fictional but the meme is just super annoying now,https://twitter.com/Skeetz_in_urMum/status/1749937140903891097,tweet,SomeThomasFan💯(COMMS),@Skeetz_in_urMum,Under your skin,,,3,0,1,8,750,1,2024-01-23 18:28:21,,
1749937079067488414,"@Rzj77_ England saves get boring sometimes but some of the rules and financial ability in the foreign leagues annoy me, ive managed so much in Spain and Italy over the years and the owners don’t give u any money even if you’ve won stuff",https://twitter.com/joaocuntcelo/status/1749937079067488414,tweet,tiago,@joaocuntcelo,🇵🇹,@Rzj77_,,0,0,0,1,36,0,2024-01-23 18:28:06,,
1749937033965900038,the “what country is this” comments on tiktok are starting to annoy me 😔,https://twitter.com/TrapMamiQ/status/1749937033965900038,tweet,pRETTy,@TrapMamiQ,,,,0,0,0,0,80,0,2024-01-23 18:27:55,,
1749937015481913822,"⠀ ⠀ 
i’d  have  come  over  on  my  own  accord,   anyway,   just  to  annoy  you.   （　lids  form  cresents,   a  grin:   digits  find  their  way  into  salmon  tresses  ’gainst  the  king’s  nape———gentle  tug  to  tip  visage  backward  for  lips  to  touch.    ）

 ⠀",https://twitter.com/cur3edsix/status/1749937015481913822,tweet,゛𓂀 ╱ 𝐒𝙸͟𝚇,@cur3edsix," ⠀ ⠀ twisted        LOVE     !",,,0,1,0,0,127,0,2024-01-23 18:27:51,,
1749936914960904487,@jambojeremy It may not end well but I think even Gov. Abbot knows to push this only so far. That doesn't mean he and others don't get swept up in events though.,https://twitter.com/larryn1966/status/1749936914960904487,tweet,Paid to agitate willing to annoy for free. #BLM,@larryn1966,"Richfield, MN",@jambojeremy,,1,0,0,2,39,0,2024-01-23 18:27:27,,
1749936809453457706,"Is it just me or does the phrase ""billionaire class"" annoy anyone else?  WTF is a ""billionaire class""?   Half-assed analysis from a former Trot that should know better.",https://twitter.com/eBaggerson/status/1749936809453457706,tweet,E. Nema-Bag Jones,@eBaggerson,"Ohio, USA",,,0,0,0,0,32,0,2024-01-23 18:27:02,,
1749936758966694384,https://t.co/Fih8YptrES everyone I’m so sorry I haven’t been here much the last few days. I’m still completely exhausted from the weekend and haven’t had much energy for social interaction. I’m still here though. John isn’t going anywhere. I will be back to annoy you all soon.,https://twitter.com/DEFENSIVEHUMOR/status/1749936758966694384,tweet,‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎𝚝𝚑𝚎 𝘾𝙍𝙄𝙈𝙄𝙉𝘼𝙇 ;,@DEFENSIVEHUMOR,‎ ‎ ‎ ‎ 𝖍𝖊𝖑𝖑𝖇𝖔𝖗𝖓. 21+,,,1,0,0,1,103,0,2024-01-23 18:26:50,,
1749936606557945946,Idk people who sit on an equipment at the gym for 15 minutes and just a sit and a watch video annoy me…….,https://twitter.com/King__dxniel/status/1749936606557945946,tweet,Dan 😎,@King__dxniel,🇯🇲🇯🇲🇯🇲,,,0,0,0,0,66,0,2024-01-23 18:26:13,,
1749936350269149340,"@TeslaOwnersUK Test drove a 23 reg Plaid S today. Autowipers still utterly useless. Fit a damn rain sensor. 

Parking now useless too - wet day - “parking system performance is degraded”. No shit, that’s why we use USS for parking not cameras. 

Tesla - still doing its best to annoy owners.",https://twitter.com/F1Ruaraidh/status/1749936350269149340,tweet,Ruaraidh McDonald-Walker,@F1Ruaraidh,At home or in the garage....🙄,@TeslaOwnersUK,,2,0,0,2,130,0,2024-01-23 18:25:12,,
1749936168509329903,"day #2 on new project, multiplayer is functional. honks are travelling through the network and will be able to annoy others #gamedev #indiegame https://t.co/EQU86TQgg6",https://twitter.com/BigGuyCode/status/1749936168509329903,tweet,Big Guy Code,@BigGuyCode,,,"#gamedev,#indiegame",1,0,3,10,363,1,2024-01-23 18:24:29,https://pbs.twimg.com/ext_tw_video_thumb/1749936140612952064/pu/img/QTDreg0aSiWIu9Px.jpg,https://video.twimg.com/ext_tw_video/1749936140612952064/pu/vid/avc1/1280x720/Muy0R8qWsPSjN2eK.mp4?tag=12
